id,result,element_1,element_2,level
1,1-UP,Life,Mushroom,5
2,Air,,,0
3,Airplane,Metal,Bird,5
4,Albert Einstein,Scientist,Energy,13
5,Alcohol,Fire,Water,1
6,Alcoholic,Man,Alcohol,7
7,Algae,Life,Water,3
8,Alien,Star,Life,14
9,Aluminum,Airplane,Metal,6
10,Ambulance,Hospital,Car,12
11,Aquarium,Glass,Fish,6
12,Arable,Earth,Tool,8
13,Arms,Metal,Tool,8
14,Ash,Dust,Dust,2
15,Ash Tray,Ash,Glass,5
16,Assassin,Man,Poisoned Weapons,10
17,Australia,Kangaroo,Country,13
18,Avian Flu,Flu,Bird/Chicken,5
19,Baby,Sex,Life,9
20,Bacon,Fire,Pig,11
21,Bacteria,Life,Swamp,3
22,Bar,Brick House,Beer,11
23,Barbecue,Fire,Meat,11
24,Bat,Bird,Vampire,12
25,Batman,Bat,Man,13
26,Beach,Water,Sand,4
27,Bear,Beast,Forest,9
28,Beast,Earth,Lizard,8
29,Beaver,Dam,Beast,9
30,Bee,Flower,Beetle,7
31,Beer,Alcohol,Wheat,10
32,Beetle,Worm,Earth,6
33,Beetroot,Sugar,Seed,9
34,Belarus,Tractor,Country,13
35,Berry,Grass,Fruit,7
36,Bicycle,Wheel,Wheel,10
37,Bird,Air,Egg,4
38,Bitumen,Kerogen,Pressure,7
39,Blood,Beast,Hunter,10
40,Boat,Water,Wood,9
41,Boiler,Metal,Steam,4
42,Book,Paper,Man,10
43,Borscht,Beetroot,Fire,10
44,Bow,Robin Hood,Arms,13
45,Bread,Dough,Fire,12
46,Brick,Clay,Fire,5
47,Brick House,Brick,Concrete,9
48,Butterfly,Air,Worm,6
49,C3PO,Gold,Robot,16
50,Cactus,Desert,Tree,6
51,Camel,Beast,Desert,9
52,Cancer,Man,Tobacco,9
53,Car,Cart,Combustion Engine,11
54,Caramel,Sugar,Fire,9
55,Carbon Dioxide,Oxygen,Man,7
56,Carmine,Cochineal,Fire,8
57,Cart,Wheel,Wood,10
